Date,Open,High,Low,Close,Adj Close,Volume
2007-03-15,190.0,192.1125030517578,185.5,186.7624969482422,162.5860595703125,1649004
2007-03-16,186.5,190.9250030517578,181.3125,182.6750030517578,159.02769470214844,1832600
2007-03-19,187.1750030517578,187.1750030517578,183.03750610351562,184.72500610351562,160.81231689453125,1232432
2007-03-20,186.0,187.3000030517578,183.0,185.96249389648438,161.88961791992188,2048168
2007-03-21,187.25,189.375,183.5,188.375,163.9898223876953,2927056
2007-03-22,189.5,196.47500610351562,189.5,195.39999389648438,170.10543823242188,5967400
2007-03-23,194.9499969482422,201.0,188.08749389648438,199.1999969482422,175.0936737060547,4191324
2007-03-26,200.0,201.9250030517578,195.25,197.1374969482422,173.28074645996094,3801480
2007-03-28,196.25,196.25,189.25,190.58749389648438,167.52340698242188,2000100
2007-03-29,198.1999969482422,198.1999969482422,186.0500030517578,189.4375,166.51260375976562,4572740
2007-03-30,189.25,196.4250030517578,187.8874969482422,195.10000610351562,171.48985290527344,3573140
2007-04-02,187.5,191.0,176.60000610351562,178.375,156.788818359375,4873272
2007-04-03,178.5,183.75,178.5,181.8125,159.81031799316406,4098192
2007-04-04,183.25,185.375,176.5,177.9499969482422,156.4152374267578,5572172
2007-04-05,178.25,179.9875030517578,175.75,178.4250030517578,156.83277893066406,3226072
2007-04-09,180.0,184.375,179.8000030517578,183.60000610351562,161.38153076171875,3161300
2007-04-10,183.75,184.97500610351562,179.78750610351562,181.9375,159.92019653320312,3282060
2007-04-11,183.6750030517578,183.6750030517578,180.1374969482422,181.3000030517578,159.35986328125,1852248
2007-04-12,180.75,180.75,177.83749389648438,179.6999969482422,157.95347595214844,1572512
2007-04-13,180.25,186.75,178.83749389648438,186.27499389648438,163.7327880859375,4005680
2007-04-16,187.5,191.25,187.5,190.75,167.6662139892578,3347796
2007-04-17,192.27499389648438,192.5,187.0124969482422,187.4499969482422,164.76559448242188,2420748
2007-04-18,189.6750030517578,189.6750030517578,185.2624969482422,186.47500610351562,163.9086151123047,1058492
2007-04-19,184.0,186.22500610351562,182.0,183.47500610351562,161.27162170410156,3119100
2007-04-20,185.75,188.0,183.75,185.9250030517578,163.42514038085938,2827744
2007-04-23,187.0,189.4875030517578,182.0,182.8249969482422,160.70028686523438,3149856
2007-04-24,182.8249969482422,188.75,181.35000610351562,186.08749389648438,163.5679473876953,2399476
2007-04-25,186.5,192.75,185.77499389648438,190.7624969482422,167.67726135253906,4498080
2007-04-26,191.25,194.4250030517578,188.7624969482422,191.64999389648438,168.4573211669922,4318700
2007-04-27,192.0,193.75,188.33749389648438,190.5625,167.50143432617188,3568524
2007-04-30,190.5625,195.0,187.5124969482422,194.4250030517578,170.89651489257812,1995072
2007-05-03,195.375,199.75,195.375,198.0500030517578,174.0828094482422,3750732
2007-05-04,198.25,200.75,195.8000030517578,197.5124969482422,173.61036682128906,2825212
2007-05-07,198.72500610351562,199.9875030517578,193.3000030517578,193.9375,170.468017578125,1388088
2007-05-08,198.25,198.25,188.78750610351562,189.89999389648438,166.91908264160156,2456004
2007-05-09,188.0,190.0124969482422,184.02499389648438,189.3125,166.40269470214844,2073904
2007-05-10,190.25,191.22500610351562,185.0,185.8125,163.3262481689453,3743848
2007-05-11,184.5,184.5,177.25,180.0749969482422,158.28309631347656,5710536
2007-05-14,183.5,183.75,180.625,182.0,159.97511291503906,2152376
2007-05-15,182.75,183.25,177.75,179.0625,157.3931121826172,3319804
2007-05-16,180.5,181.75,178.0,180.125,158.32704162597656,5114680
2007-05-17,181.0,183.1750030517578,178.6875,182.02499389648438,159.9971160888672,5322760
2007-05-18,183.625,183.75,180.02499389648438,183.14999389648438,160.98594665527344,3739080
2007-05-21,183.8000030517578,184.35000610351562,181.35000610351562,182.8125,160.68931579589844,2393536
2007-05-22,181.5,186.5124969482422,180.08749389648438,183.52499389648438,161.31558227539062,3227520
2007-05-23,183.52499389648438,185.2375030517578,181.83749389648438,183.85000610351562,161.60128784179688,4944424
2007-05-24,182.5,184.72500610351562,182.0,183.71249389648438,161.48037719726562,3769212
2007-05-25,180.5,183.75,177.58749389648438,182.96249389648438,160.8211669921875,3351248
2007-05-28,185.9250030517578,186.35000610351562,183.25,184.875,162.50221252441406,3339012
2007-05-29,186.25,193.125,185.08749389648438,191.46249389648438,168.29251098632812,5621236
2007-05-30,192.22500610351562,192.35000610351562,186.9250030517578,187.5625,164.864501953125,3528784
2007-05-31,187.5,191.75,187.0500030517578,189.3625030517578,166.44667053222656,3718024
2007-06-01,191.21249389648438,192.27499389648438,187.78750610351562,190.39999389648438,167.35861206054688,4052880
2007-06-04,191.72500610351562,195.6750030517578,186.78750610351562,187.83749389648438,165.106201171875,3625848
2007-06-05,189.9250030517578,189.9250030517578,187.3000030517578,188.125,165.35890197753906,2760780
2007-06-06,193.7624969482422,193.7624969482422,183.83749389648438,186.47500610351562,163.9086151123047,3627476
2007-06-07,175.3125,187.91250610351562,175.3125,185.1125030517578,162.71096801757812,1683316
2007-06-08,185.0,185.0,178.02499389648438,179.3249969482422,157.6238555908203,2910700
2007-06-11,181.25,182.0,178.78750610351562,179.75,157.9974365234375,1652492
2007-06-12,181.25,181.25,172.5,173.83749389648438,152.8004150390625,2997176
2007-06-13,173.25,176.1999969482422,169.875,171.47500610351562,150.7238311767578,3603356
2007-06-14,173.75,176.1750030517578,173.0,175.02499389648438,153.84423828125,2410788
2007-06-15,176.75,178.5,174.4250030517578,175.08749389648438,153.899169921875,1526580
2007-06-18,176.25,178.6750030517578,172.75,173.4250030517578,152.43783569335938,2011540
2007-06-19,173.25,175.875,171.625,175.25,154.04197692871094,3293876
2007-06-20,177.0,180.125,175.75,178.3625030517578,156.77783203125,2581488
2007-06-21,178.75,183.25,178.10000610351562,182.3000030517578,160.23886108398438,3980492
2007-06-22,176.3625030517578,185.0,176.33749389648438,182.8625030517578,160.73326110839844,3830512
2007-06-25,184.6750030517578,187.3000030517578,180.75,185.47500610351562,163.02963256835938,3095432
2007-06-26,181.75,186.85000610351562,181.75,185.02499389648438,162.6340789794922,2103716
2007-06-27,185.125,185.125,178.75,179.8125,158.05235290527344,1182596
2007-06-28,182.0,182.0,176.0,176.6999969482422,155.31649780273438,2170068
2007-06-29,177.25,182.60000610351562,176.77499389648438,180.78750610351562,158.9093780517578,2378316
2007-07-02,182.0,186.125,180.0,182.89999389648438,160.7662353515625,2712904
2007-07-03,183.6125030517578,185.9250030517578,183.27499389648438,183.9250030517578,161.66717529296875,2695696
2007-07-04,185.9250030517578,187.5,184.0,187.22500610351562,164.5678253173828,2169048
2007-07-05,185.25,193.0749969482422,185.0124969482422,192.46249389648438,170.07994079589844,6218628
2007-07-06,187.8000030517578,199.2375030517578,175.3125,196.91250610351562,174.012451171875,5188216
2007-07-09,198.75,198.75,194.125,194.8000030517578,172.14559936523438,1976620
2007-07-10,194.375,197.77499389648438,194.25,196.8874969482422,173.99032592773438,3178708
2007-07-11,196.5,197.97500610351562,192.58749389648438,195.27499389648438,172.56536865234375,2520052
2007-07-12,196.5,202.75,193.0,200.5500030517578,177.22689819335938,5058520
2007-07-13,204.0,208.0749969482422,202.25,206.3874969482422,182.385498046875,4961644
2007-07-16,207.5,209.6750030517578,202.2375030517578,206.2375030517578,182.2529754638672,2643360
2007-07-17,206.25,206.75,198.5,200.1374969482422,176.86236572265625,4874364
2007-07-18,199.5,202.5,197.58749389648438,201.6374969482422,178.18789672851562,2023616
2007-07-19,202.4499969482422,206.2375030517578,197.75,203.625,179.94427490234375,3686388
2007-07-20,205.97500610351562,207.5,204.2624969482422,206.6374969482422,182.60643005371094,2893916
2007-07-23,204.2624969482422,208.0124969482422,200.58749389648438,206.3874969482422,182.385498046875,2073984
2007-07-24,206.5,207.25,198.0,198.75,175.63623046875,2452604
2007-07-25,197.5,198.75,193.83749389648438,195.3874969482422,172.664794921875,1636076
2007-07-26,195.60000610351562,202.5,195.60000610351562,200.8625030517578,177.50306701660156,2603560
2007-07-27,198.75,198.75,192.75,195.0124969482422,172.33338928222656,2431332
2007-07-30,197.02499389648438,197.02499389648438,184.53750610351562,187.625,165.80502319335938,5261248
2007-07-31,186.58749389648438,191.25,178.5124969482422,182.1999969482422,161.0109100341797,6562580
2007-08-01,182.5500030517578,182.5500030517578,172.5,173.3249969482422,153.16807556152344,5315888
2007-08-02,174.75,175.625,167.3249969482422,168.96249389648438,149.31288146972656,5552184
2007-08-03,171.25,174.6750030517578,168.75,169.58749389648438,149.86520385742188,2518356
2007-08-06,168.6750030517578,171.25,163.5,169.9375,150.17449951171875,3331108
2007-08-07,174.4250030517578,174.4250030517578,168.75,169.5,149.78787231445312,2529204
2007-08-08,170.25,173.72500610351562,170.0,172.4875030517578,152.42794799804688,3010248
2007-08-09,172.47500610351562,175.25,171.4875030517578,172.0625,152.05235290527344,4361044
2007-08-10,163.0625,169.5,163.0625,167.78750610351562,148.2745361328125,1955044
2007-08-13,169.0,172.875,168.02499389648438,172.41250610351562,152.3616485595703,3133436
2007-08-14,173.10000610351562,173.75,168.875,169.71249389648438,149.9756622314453,3896160
2007-08-16,163.66250610351562,166.0,156.5,163.47500610351562,144.46356201171875,3339864
2007-08-17,162.25,165.25,156.5749969482422,162.7375030517578,143.8118438720703,3975812
2007-08-20,166.25,168.75,159.5625,160.625,141.9449920654297,4752648
2007-08-21,160.875,162.5,152.08749389648438,153.6374969482422,135.77011108398438,5670292
2007-08-22,154.02499389648438,158.6999969482422,153.5,157.2624969482422,138.97354125976562,2131788
2007-08-23,159.41250610351562,164.9875030517578,153.8249969482422,155.47500610351562,137.39393615722656,2091408
2007-08-24,151.25,160.5,147.91250610351562,160.0124969482422,141.4037322998047,1340756
2007-08-27,164.5,165.16250610351562,161.0,164.5124969482422,145.38038635253906,1586412
2007-08-28,164.75,167.22500610351562,162.5,164.3000030517578,145.192626953125,1242300
2007-08-29,161.3249969482422,164.75,159.5124969482422,163.60000610351562,144.5740509033203,1438212
2007-08-30,162.52499389648438,170.47500610351562,162.52499389648438,169.25,149.5669403076172,3763632
2007-08-31,169.25,180.6125030517578,169.25,177.02499389648438,156.43772888183594,4969116
2007-09-03,178.0,181.47500610351562,175.77499389648438,180.0500030517578,159.11099243164062,4080908
2007-09-04,181.25,182.0,177.83749389648438,179.22500610351562,158.3819122314453,1750848
2007-09-05,182.125,182.125,175.10000610351562,177.89999389648438,157.21099853515625,2697436
2007-09-06,178.0,180.75,175.60000610351562,180.5124969482422,159.51966857910156,1100900
2007-09-07,181.0,183.125,175.5500030517578,176.46249389648438,155.94065856933594,1913788
2007-09-10,175.0,176.5500030517578,172.6125030517578,175.28750610351562,154.90235900878906,1532036
2007-09-11,175.0124969482422,177.47500610351562,173.14999389648438,174.46249389648438,154.17327880859375,960108
2007-09-12,176.0,176.64999389648438,173.8125,174.53750610351562,154.23959350585938,1174704
2007-09-13,175.0,177.5,174.5749969482422,177.14999389648438,156.54820251464844,860780
2007-09-14,177.5,179.75,173.75,174.625,154.3168487548828,965804
2007-09-17,175.0,176.22500610351562,172.9375,174.5500030517578,154.2505645751953,594072
2007-09-18,173.77499389648438,177.9250030517578,173.75,177.27499389648438,156.65867614746094,1738800
2007-09-19,181.25,194.6999969482422,179.5,185.2375030517578,163.6951904296875,6048644
