Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,58.83333206176758,59.416664123535156,58.56666564941406,59.0,42.895164489746094,6657822
2007-01-03,59.0,59.233333587646484,58.20000076293945,58.483333587646484,42.51952362060547,7395510
2007-01-04,58.75,59.233333587646484,56.03333282470703,56.31666564941406,40.94427490234375,21553218
2007-01-05,56.666664123535156,57.0,55.0,55.099998474121094,40.059715270996094,28292784
2007-01-08,55.166664123535156,55.56666564941406,54.03333282470703,54.233333587646484,39.429622650146484,14032632
2007-01-09,54.666664123535156,55.599998474121094,53.86666488647461,54.016666412353516,39.2720947265625,16982472
2007-01-10,54.0,54.766666412353516,53.36666488647461,54.383331298828125,39.53866958618164,15930090
2007-01-11,54.58333206176758,56.666664123535156,54.25,56.400001525878906,41.00486755371094,21222462
2007-01-12,56.93333435058594,57.36666488647461,56.28333282470703,57.03333282470703,41.46532440185547,15254871
2007-01-15,57.93333435058594,57.93333435058594,56.33333206176758,57.33333206176758,41.68342971801758,12361971
2007-01-16,57.83333206176758,57.83333206176758,56.53333282470703,57.21666717529297,41.59861373901367,8303586
2007-01-17,56.666664123535156,57.633331298828125,56.33333206176758,56.5,41.07757568359375,6100350
2007-01-18,56.666664123535156,57.666664123535156,55.883331298828125,57.400001525878906,41.73189926147461,16888908
2007-01-19,56.93333435058594,58.900001525878906,56.93333435058594,58.53333282470703,42.555885314941406,20980413
2007-01-22,58.983333587646484,60.33333206176758,57.849998474121094,59.650001525878906,43.367733001708984,16863660
2007-01-23,60.0,60.0,58.70000076293945,59.08333206176758,42.95573806762695,9808146
2007-01-24,59.0,59.666664123535156,58.666664123535156,59.416664123535156,43.19808578491211,7522077
2007-01-25,59.33333206176758,60.33333206176758,58.04999923706055,59.28333282470703,43.10115051269531,24341223
2007-01-29,58.86666488647461,59.93333435058594,57.0,57.233333587646484,41.61072540283203,16677954
2007-01-31,57.33333206176758,59.5,56.46666717529297,58.20000076293945,42.31352996826172,25075197
2007-02-01,57.70000076293945,59.166664123535156,57.70000076293945,58.28333282470703,42.37411880493164,10288761
2007-02-02,58.58333206176758,59.666664123535156,58.43333435058594,59.04999923706055,42.931514739990234,9782337
2007-02-05,59.04999923706055,59.33333206176758,58.70000076293945,59.20000076293945,43.040565490722656,6866091
2007-02-06,59.20000076293945,59.78333282470703,58.03333282470703,58.349998474121094,42.422576904296875,12083715
2007-02-07,58.71666717529297,58.900001525878906,58.166664123535156,58.56666564941406,42.58011245727539,8916537
2007-02-08,58.36666488647461,59.150001525878906,57.70000076293945,58.81666564941406,42.761863708496094,8272236
2007-02-09,58.983333587646484,59.08333206176758,58.133331298828125,58.79999923706055,42.749752044677734,10729065
2007-02-12,58.79999923706055,58.900001525878906,57.099998474121094,58.45000076293945,42.49529266357422,8021388
2007-02-13,58.0,59.0,56.599998474121094,57.733333587646484,41.9742431640625,16235463
